post_date,headlines,texts,likes,comment_counts,shares,url,sponsored,sponsor_name
TBD,Heartbreak for Harry Kane as missed penalty sees France beat England to World Cup semi-finals,"Vive Les Bleus, but football isn't coming home.",742,114,35,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Ffrance-beats-england%2F&h=AT047V0cBvH1qO8YMw7s1RRLenxTNF8FmhpTimVgH29KVY7c41XrRu5omAgfy1Rea1AqUr99ESBLloBInIoFXbgBRseMKzRmEyXbv_96KD4sS4eTJFko9xbmnHiS7tWPOBBSchiijfp4CmPXePqW28mL-A&__tn__=%2CmH-R&c[0]=AT35YvdrCzqR49Erbqqj3rbCYDtWD2P0L8LEqLBseLzMm1Ijdx9nVGDrbKh1-zCMxAABJHUD-n18jbqlnw20s_kcx-E0uoELzWlVkd5wccmraIO6Shp9OOjevDsD4uzqe9yjrZNvpKULKiNfuztEdNgTV-GeEWS41zy84TIoVw9Dyg1qYuyFdkojxA9Pt9g1x5Oa7NYOCG9Cvlg5UanFVPGdT5C0YDGRY1yAvYM,ORGANIC,ORGANIC
TBD,Flash flood warning issued at multiple locations by PUB on Dec. 11 following heavy rain,"A flash flood has also occurred at KPE, towards ECP, near Buangkok East Drive.",311,51,68,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fflash-flood-warning-dec-11%2F&h=AT0h1I-9knNxfH29XKcTQCj46figdKt8R8KXO9wgZsx42pKrwI3obi3uj1y4HUIgyqHz-pNRuYpmBGPIljxDXBdfpe3bJXG5or3MejC8cw_ahLWneiIRpDizyj5Ir2JrgzR3XIC072om3NuzZcIttGw6yg&__tn__=%2CmH-R&c[0]=AT1VnhYNkYh4AFUUvNqHFEDiXaW6KKcAGt28ctYs45__-FDx7bkWIcQ4pnXomMZRda3qinXoF6GER5Qor3NARC3F83pDUgB4jjIRW72qzLGG9eqWzH3n-lZ73fLeLYSj9iQLYS2rgMbAEf9TMZrTtQuoJDyX1Vk0hwzNxcUPK_54ENvlyP97a32dRAHklzSgQpon9Fd-LHdrM0nVxaoZZzDsRSnvRt1QDErDUcU,ORGANIC,ORGANIC
TBD,"Morocco knocks Portugal out of World Cup, 1st African nation to advance to semi-finals",This time for Africa.,12000,487,313,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fportugal-morocco-2022-world-cup%2F&h=AT35is9Ut1ogpeUOCWdHoOdo9XRcnk_soN6NXywswXZwcsBs8dGgvKwmPGmRMZGZQI58ltATIznMs0WmTEKtks1OGGj0-JhXW3nYDdIcuizZ7parky7QBUbWzZc_4HyHEdfKK6XgYBRF6TdtNArx6P5Ymw&__tn__=%2CmH-R&c[0]=AT2yW3nLDiJwqUAD1EUJG89iAA_ZWPoo-6L1g9-9Cqk5ElGfjHhPhVUwFQD2b7CSzdoM_ngdgv8KRZ5rXMHaUqUOzmP4TaOUBVnV1McoLQ9tqXayl0qC3_cej5ul1ZQ4KSuOWBB8xpPhrdqXUGHlZ9_zlYrbyi4uy60k3JK7KvAJ50AsRJxl_D4KnAA68jKFgEODCUyDsLkspjH4EAIkh6HEDdcTI4EE-PNn6aI,ORGANIC,ORGANIC
TBD,Fire that led to death of 19-year-old firefighter at Henderson Road likely of electrical origin: SCDF,This was revealed through the Singapore Civil Defence Force (SCDF)'s preliminary investigation.,330,90,18,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Ffire-scdf-dec-10-henderson-road%2F&h=AT11j9nPbAjJhvo6wd74sSkEjuqpe8cQ-oXxQ4cbK7Pem3PtkuGOFS4FT8G386BdSJLk0Faa-kaHrWfb5VyKZjEhu0rq5P6zppwn08og0YFCGC16pUPSWG8p-PJwWX-r9wz9HBWdBDBmKpwrVIgJGwiVVA&__tn__=%2CmH-R&c[0]=AT3CuG27G2FjGOvzsLUmvHNAT_R5dPSiv4u2a9gqczB1Ekzqu7Ovi1etfdO-UZJcgFP2PJ_THm_jWDltKU4x8CxDzTHgHqDPbZMVH17Fog_e6M3I0G3kLZGgsjLrbLDtNeSqT31vQDLlCDWAkFWd0QrMy7uUHCCYldhP6hG2L188Id3GzEEyxmdq13nv4zOeXqZS2DneF_Ishrsp5HfsbsXXRm1JCce97pBF5-w,ORGANIC,ORGANIC
TBD,"Ice Magic apologises for long wait times, extends 3pm timeslots & invites visitors to reschedule","Visitors who were unable to enter the attraction due to the long queues on Dec. 10 can reschedule their visit for another day without any additional costs, said the organisers.",616,169,91,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fice-magic-apologise%2F&h=AT1Of98abvqZMzyqEDMm2XM861vBTzSa751yElf9x3v9uZq8bbvQ6ESfWJgFEqpgW2HIwOq9ODvxrglcUB2-wx3q2iyu9JwYxziAhhlrcIamEyH_JaGkuL2IOfxmN3QvJDdSIKxqfKjLounLZS_hryy34g&__tn__=%2CmH-R&c[0]=AT3DwEFMnuJFlLTGSf5ijwiGyEWvPc7iGIfMRZk9wMMfChJq1zBNvolO4TGRfynRvzltNSDGy_79BvdI7umCf4Jv3eoQuB_nC9Y5eEXNwB_gWKRn_nZBDG3_LOQC-o9NQCiRww14qjpneCYWqvAuqNXCS2rUtf0xTFH0KoM5ieS5a1rfK_hznN0VtqURaz1B1TIOo9kDWNrF4MJHCQ_83k6loLsnKJM2j1D6iJ4,ORGANIC,ORGANIC
TBD,'Terrible' situation at Ice Magic festival as visitors dressed for -15°C queue for 3 hours outdoors,"A Mothership reader observed that many children in the queue were dressed in winter clothes and were ""sweating profusely"". The reader shared that she and her toddler eventually gave up queuing and left as the queue was not moving.",5800,1000,1000,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fice-magic-queue%2F&h=AT0quIFNIg2Mm6UG4Mj4fufP5TfMuI0S2SDx3Jol4yG9VQpRV_MeTaDpP15czasfcFwyJvZBKWIi1GKG4Dk3F2cuAYr4_iyaw7KVlsvN4gb8lJ7ICuqjaMFzF-TegE3mZzWBY7p7bl-UKrWhaB6gFlLaeA&__tn__=%2CmH-R&c[0]=AT2wg6MvB7CiAorUzJloA7xwzsyiI2Fs36U35gBz9jGdxVvf-YIVq0nRnf9fJYWH9Gonw4vVSxiMcudbgdjMhhCQfsEQN5dt3490wkjDLGh0MmQq0Fbsn2u6VAhtLcPfwzrOjxt0hbawNJiF7lh3GhBMwTMk2p3KZNTWXBEjmjpUALC1AryYOtBR2Pv_OPiTd8R96u2MU9iCCgwdU-4XrelxCc8KBmrHgNBIcf0,ORGANIC,ORGANIC
TBD,Man in S'pore allegedly throws biscuit pack at woman's face after she rejects his invitation for drinks,"When the woman and her friends confronted the man, his friend stepped in to mediate the situation, pleading with them not to call the police.",1000,541,150,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fman-throw-yan-yan-at-woman%2F&h=AT2ov_US7OkdgInQugVxAHB98vQBe-i0E-lHzkWQAf4R4nRRgO3HUqlmDMhn0l8hXbMLjnpCX3QGXXeBYMDnBLQ4_2Yb7G8XeL6B3yliEu0AJ4eJatKTvSfTwfGW4w1eHbWz4hR8zO4JxLnxWRDyCRXgBA&__tn__=%2CmH-R&c[0]=AT3vVsSZKlTLtx-KlYFM_GVl9gd8hvr7sKdy3Scc8BgGqCqq4xjY0AybQO5UZ1d5GcS4-Q4rFF7N61dU8yciGdO2ZvnE1afRH2I89QrIqyzluXGV4bYjSsOLB38Bt6zeLBZbHQatIWjCBhgVC0JsZJdwHT2X7iHb3uIKc275c9qepGudSvUu2lI2rNpNML3RHz-z_V-hmm3MMezsbujRsrJ0jGmi9PiTAKdDrzU,ORGANIC,ORGANIC
TBD,"Senja Hawker Centre opens Dec. 11 with 28 stalls & 580 seats, has roof garden & event space",Food options range from Michelin-awarded hawker fare and traditional favourites to meals at concessionary prices.,451,47,252,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fsenja-hawker-centre-opening-date%2F&h=AT2FsO4U2fEZGVh7I6k0IhpJUAppX0V6TCvsoyo2EvOjWStCbLu1UrvFroudVkitB6k93qJD4RqKSUgTRpe5IV2V23Tplo0RctU5Vf4g_PoOedDSisjbdoRVbgLbyVHxnTuDBiAX9T9Dw2n4z8opucDAlQ&__tn__=%2CmH-R&c[0]=AT0661OxAGA-NITCHyb27tVX86UPsD6JzB1-qTz8PBZAhFLnrZYAnfnJru3xyqcmL-49PC425JEXPzMZBGaDTRIReO3O3HGPgm9Dp9btiOvf0XiZngYHoryiSN92deB52F9vfFGlovJt7BuG4rDmLZAYcmkqXSWyKeaNkOWj08a-p5V3alkQjcGAdjkXglyZ9YMqzyXgqAwfJr_M48WUNP4NeaI5U77ahvUtZzc,ORGANIC,ORGANIC
TBD,Jackie Chan reveals that 'Rush Hour 4' is in the works,The return of this iconic duo.,2400,71,283,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fjackie-chan-rush-hour-4%2F&h=AT34kKX_Ixs054OzOrNh9ml8LKfrBhw8xQhkr1-AahIbuUhNxYWa6Txp-6kG3pfRRCOfMWO2kHgjh_h0svl0vXnqvlWJUZzwSSs6YU6FkgVMqd_l4gp2rF75SglhIvnrV1vLHkt0vZm0-wZm0jYLIdTE3w&__tn__=%2CmH-R&c[0]=AT0wi0UZC_GsBn4WU2qJM7rC1NdH2KXQKyws-CLBIby9rrGFFm_lzINXwTLbBpHPcnk0nFY7LUEOBL67owW0T-F4FNbLaMZHyt8OKBhzRaqluO_mEHlQd0af5tZWrnSzwirVG7GQErUX8sWp_98fb88MAgjNR2o49ecYeEku6qyRATT22tBMTpvPqHCS2k80QZiP4tLLfb_-e6Ld8DvOaiB-O6zIWCuFfd-hZWI,ORGANIC,ORGANIC
TBD,Lucky guests bump into Song Joong Ki at wedding in Bali,"At one point, the actor had apparently gotten thirsty and went to get a glass of water. In true gentlemanly fashion, he got some water for everyone who was seated nearby too.",1200,69,86,https://l.facebook.com/l.php?u=https%3A%2F%2Fmothership.sg%2F2022%2F12%2Fsong-joon-ki-bali-wedding%2F&h=AT0NvqyNrFnvRL7dlrHLfpAhtoJ2YPDs0DVLVVKCAv05llfeDBLOXUnhOzrkc1dmE_Oz__nLMqPOs_TUR1QBW3cZ2z4dskxUFhxJvEzP7UQAv-amDTtWekF0TkU3c3qyhNYID6HAPt8Funvd3bf6-2Lo9w&__tn__=%2CmH-R&c[0]=AT3ZoRnM1lpW537Ao94Z8cXhlMtobDT5VR5f5bbplmN1tmBY4gJ6IBWxBDj9gSPpZEQNfatlu19PY0s_hqfCkynVUdAVJKeVB_BjO0D4ZRoH-UUU_Q0qV4XSwSLsgBfsuTu-coQRoIp2aMQAuL5RfMvaC2j6RHuNTXZDq5gKYbQ1u54eQO48gmqVrTzoo0t57j6235Hiv3b4zXkLcACGYlTAnB7Wx5nGjdhK4Jo,ORGANIC,ORGANIC
